,Event_Id,Investigation_Type,Accident_Number,Event_Date,Location,Country,Airport_Code,Airport_Name,Injury_Severity,Aircraft_Damage,Registration_Number,Make,Model,Amateur_Built,Number_Of_Engines,Engine_Type,Purpose_Of_Flight,Total_Fatal_Injuries,Total_Serious_Injuries,Total_Minor_Injuries,Total_Uninjured,Weather_Condition,Broad_Phase_Of_Flight,Report_Status,Publication_Date,Total_Passengers,Fatal_Injuries_Rate,Uninjured_Rate
20756,20001213X26169,Incident,CHI88IA159,1988-07-06,"INDIANAPOLIS, IN",United States,,INDIANAPOLIS INT'L,Incident,,N409PE,Boeing,737-130,No,2.0,Turbo Fan,Unknown,0.0,0.0,0.0,36.0,VMC,Descent,Probable Cause,11-06-1990,36.0,0.0,1.0
20781,20001213X26238,Incident,FTW88IA129,1988-07-09,"ABILENE, TX",United States,ABI,MUNICIPAL,Incident,Minor,N91DA,Embraer,EMB-110P1,No,2.0,Turbo Prop,Unknown,0.0,0.0,0.0,10.0,VMC,Landing,Probable Cause,25-01-1990,10.0,0.0,1.0
20785,20001213X26324,Accident,MKC88DCG01,1988-07-09,"NEOSHO, MO",United States,EOS,NEOSHO MEMORIAL,Non-Fatal,Substantial,N450LR,Boeing,75A,No,1.0,Reciprocating,Personal,0.0,2.0,0.0,0.0,VMC,Takeoff,Probable Cause,10-07-1989,2.0,0.0,0.0
20815,20001213X26163,Accident,CHI88FA163,1988-07-11,"ST PAUL, MN",United States,MSP,MINNEAPOLIS - ST PAUL,Non-Fatal,Substantial,N254US,Boeing,727,No,3.0,Turbo Fan,Unknown,0.0,0.0,0.0,93.0,VMC,Taxi,Probable Cause,18-07-1990,93.0,0.0,1.0
20855,20001213X26216,Accident,DEN88LA159,1988-07-15,"GALLUP, NM",United States,GUP,GALLUP,Non-Fatal,Substantial,N772WM,Boeing,A75N1,No,1.0,Reciprocating,Business,0.0,0.0,0.0,1.0,VMC,Landing,Probable Cause,08-08-1989,1.0,0.0,1.0
20942,20001213X26302,Incident,MIA88IA231,1988-07-24,"MIAMI, FL",United States,MIA,MIAMI INTERNATIONAL,Incident,Minor,N69AF,Boeing,737-222,No,2.0,Turbo Fan,Unknown,0.0,0.0,0.0,85.0,VMC,Takeoff,Probable Cause,25-01-1990,85.0,0.0,1.0
20965,20001213X26239,Incident,FTW88IA141,1988-07-26,"KENTON, DE",United States,ILG,,Incident,Minor,N14336,Boeing,737-300,No,2.0,Turbo Fan,Unknown,0.0,0.0,0.0,50.0,IMC,Descent,Probable Cause,20-10-1992,50.0,0.0,1.0
20966,20001213X26200,Incident,DEN88IA167,1988-07-26,"DENVER, CO",United States,DEN,STAPLETON INT'L,Incident,Minor,N1973,Boeing,727-100,No,3.0,Turbo Fan,Unknown,0.0,0.0,0.0,5.0,VMC,Taxi,Probable Cause,03-10-1989,5.0,0.0,1.0
21023,20001213X26167,Accident,CHI88FA183,1988-07-31,"WONDER LAKE, IL",United States,10C,GALT,Non-Fatal,Substantial,N4408N,Boeing,B75N1,No,1.0,Reciprocating,Personal,0.0,0.0,0.0,1.0,VMC,Takeoff,Probable Cause,28-11-1989,1.0,0.0,1.0
21139,20001213X26646,Accident,MKC88FA154,1988-08-10,"LITTLE ROCK, AR",United States,LIT,LITTLE ROCK,Non-Fatal,,N9060U,Boeing,737-222,No,2.0,Turbo Fan,Unknown,0.0,5.0,5.0,97.0,VMC,Takeoff,Probable Cause,16-01-1990,107.0,0.0,0.9065420560747663
21212,20001213X26691,Accident,NYC88LA221,1988-08-18,"WELLSVILLE, PA",United States,ELZ,WELLSVILLE,Non-Fatal,Substantial,N7772J,Boeing,A75N1,No,1.0,Reciprocating,Personal,0.0,0.0,0.0,1.0,VMC,Landing,Probable Cause,04-01-1990,1.0,0.0,1.0
21290,20001213X26437,Accident,ATL88FA239,1988-08-26,"CHARLESTON, SC",United States,,,Non-Fatal,,N120DL,Boeing,767,No,2.0,Turbo Fan,Unknown,0.0,1.0,9.0,55.0,VMC,Cruise,Probable Cause,04-01-1990,65.0,0.0,0.8461538461538461
21311,20001213X26494,Accident,CHI88FA223,1988-08-27,"CHICAGO, IL",United States,ORD,CHICAGO O'HARE,Non-Fatal,Substantial,N852TW,Boeing,727-31,No,3.0,Turbo Fan,Unknown,0.0,0.0,7.0,61.0,VMC,Approach,Probable Cause,09-07-1990,68.0,0.0,0.8970588235294118
21334,20001213X26441,Incident,ATL88IA241,1988-08-30,"SAVANNAH, GA",United States,,,Incident,,N353AU,Boeing,737-387,No,2.0,Turbo Fan,Unknown,0.0,0.0,13.0,81.0,UNK,Cruise,Probable Cause,25-01-1990,94.0,0.0,0.8617021276595744
21341,20001213X26528,Accident,DCA88MA072,1988-08-31,"DALLAS/FT WORTH, TX",United States,DFW,DALLAS/FT. WORTH INTL,Fatal(14),Destroyed,N473DA,Boeing,727-232,No,3.0,Turbo Fan,Unknown,14.0,26.0,50.0,18.0,VMC,Takeoff,Probable Cause,24-04-1990,108.0,0.12962962962962962,0.16666666666666666
21422,20001213X26783,Accident,CHI88FA233,1988-09-09,"MINNEAPOLIS, MN",United States,MSP,MINNEAPOLIS/ST.PAUL INTL,Non-Fatal,Substantial,N729RW,Boeing,727-200,No,3.0,Turbo Fan,Unknown,0.0,0.0,0.0,71.0,VMC,Taxi,Probable Cause,31-01-1990,71.0,0.0,1.0
21497,20001213X26909,Incident,NYC88IA246,1988-09-21,"Georgetown, Guyana",Guyana,,,Incident,,N9674,Boeing,747-100,No,4.0,Turbo Jet,Unknown,0.0,0.0,10.0,221.0,IMC,Cruise,Probable Cause,11-06-1990,231.0,0.0,0.9567099567099567
21500,20001213X26834,Incident,FTW88IA165,1988-09-21,"DFW AIRPORT, TX",United States,DFW,DFW REG.,Incident,Minor,N710AA,Boeing,727-200,No,3.0,Turbo Fan,Unknown,0.0,0.0,4.0,84.0,VMC,Approach,Probable Cause,11-06-1990,88.0,0.0,0.9545454545454546
21561,20001213X26803,Accident,DCA88RA108,1988-09-29,"ALAJUELA, COSTA RICA",Costa Rica,,JUAN SANTAMARIA INTL,Non-Fatal,Substantial,N523EA,Boeing,757,No,2.0,Turbo Fan,Unknown,0.0,0.0,0.0,128.0,UNK,,Foreign,16-09-1998,128.0,0.0,1.0
21612,20001213X27089,Accident,LAX89LA008B,1988-10-04,"VISALIA, CA",United States,2Q1,GREEN ACRES,Non-Fatal,Substantial,N5000V,Boeing,A75,No,1.0,Reciprocating,Personal,0.0,0.0,0.0,2.0,VMC,Landing,Probable Cause,07-11-1989,2.0,0.0,1.0
21626,20001213X27150,Incident,NYC89IA005,1988-10-06,"NEWARK, NJ",United States,EWR,NEWARK INT'L,Incident,Minor,N118FE,Boeing,727-100,No,3.0,Turbo Jet,Unknown,0.0,0.0,0.0,3.0,VMC,Takeoff,Probable Cause,11-06-1990,3.0,0.0,1.0
21679,20001213X26991,Incident,ATL89MA012B,1988-10-12,"YARDLEY, PA",United States,,,Incident,,AF 1,Boeing,707-300,No,4.0,Turbo Fan,Unknown,0.0,0.0,0.0,39.0,VMC,Descent,Probable Cause,16-01-1990,39.0,0.0,1.0
21719,20001213X27107,Incident,MIA89IA012,1988-10-17,ST. THOMAS,,STT,CYRIL E. KING,Incident,Minor,N706AA,Boeing,727-200,No,3.0,Turbo Fan,Unknown,0.0,0.0,0.0,131.0,VMC,Landing,Probable Cause,25-01-1990,131.0,0.0,1.0
21767,20001213X27003,Incident,CHI89IA018,1988-10-24,"CHICAGO, IL",United States,,,Incident,Minor,N277US,Boeing,B-727-200A,No,3.0,Turbo Fan,Unknown,0.0,0.0,0.0,80.0,VMC,Takeoff,Probable Cause,11-06-1990,80.0,0.0,1.0
21771,20001213X27108,Incident,MIA89IA016,1988-10-24,SAN JUAN,Puerto Rico,SJU,LUIS MUNOZ MARIN INTL,Incident,,N70054,Airbus,A-300-600R,No,2.0,Turbo Fan,Unknown,0.0,0.0,2.0,272.0,VMC,Takeoff,Probable Cause,25-01-1990,274.0,0.0,0.9927007299270073
21816,20001213X27351,Accident,NYC89LA072,1988-11-03,"BRIDGETOWN, Bahamas",Bahamas,,,Non-Fatal,,N9674,Boeing,B-747-123,No,4.0,Turbo Fan,Unknown,0.0,1.0,0.0,211.0,VMC,Cruise,Probable Cause,09-07-1990,212.0,0.0,0.9952830188679245
21841,20001213X27252,Incident,FTW89IA016,1988-11-06,"HOUSTON, TX",United States,HOU,WILLIAM P HOBBY,Incident,,N386PA,Boeing,727,No,3.0,Turbo Fan,Unknown,0.0,0.0,0.0,53.0,VMC,Approach,Probable Cause,19-04-1990,53.0,0.0,1.0
21889,20001213X27336,Incident,NYC89IA028A,1988-11-13,"BOSTON, MA",United States,BOS,BOSTON,Incident,Minor,N555PE,Boeing,727-227,No,3.0,Turbo Fan,Unknown,0.0,0.0,0.0,144.0,VMC,Takeoff,Probable Cause,20-10-1992,144.0,0.0,1.0
21918,20001213X27297,Incident,MIA89IA035,1988-11-16,"SANFORD, FL",United States,SFB,SANFORD,Incident,Minor,N707MB,Boeing,707-355C,No,4.0,Turbo Fan,Unknown,0.0,0.0,0.0,12.0,VMC,Landing,Probable Cause,25-01-1990,12.0,0.0,1.0
21981,20001213X27298,Incident,MIA89IA043,1988-11-27,SAN JUAN,Puerto Rico,SJU,SAN JUAN,Incident,Minor,N80057,Airbus,A-300-600,No,2.0,Turbo Fan,Unknown,0.0,0.0,14.0,262.0,VMC,Takeoff,Probable Cause,25-01-1990,276.0,0.0,0.9492753623188406
22058,20001213X27404,Accident,DCA89WA019,1988-12-16,,Hong Kong,,,Non-Fatal,Substantial,N822FT,Boeing,747-124,No,4.0,Unknown,,0.0,0.0,0.0,15.0,UNK,,Foreign,06-02-1995,15.0,0.0,1.0
22082,20001213X27403,Accident,DCA89RA014,1988-12-21,"LOCKERBIE, United Kingdom",United Kingdom,,,Fatal(270),Destroyed,N739PA,Boeing,747-121,No,4.0,Turbo Fan,Unknown,270.0,2.0,3.0,0.0,UNK,,Foreign,07-02-1995,275.0,0.9818181818181818,0.0
22116,20001213X27401,Incident,DCA89IA016,1988-12-26,"MORGANTOWN, WV",United States,,,Incident,Minor,N8148N,Boeing,727-25,No,3.0,Turbo Fan,Unknown,0.0,0.0,2.0,108.0,VMC,Cruise,Probable Cause,11-06-1990,110.0,0.0,0.9818181818181818
22172,20001213X27533,Accident,ATL89LA069,1989-01-05,"SALISBURY, NC",United States,,PRIVATE,Non-Fatal,Substantial,N52124,Boeing,E75,No,1.0,Reciprocating,Personal,0.0,0.0,0.0,2.0,VMC,Landing,Probable Cause,10-06-1991,2.0,0.0,1.0
22187,20001213X27515,Incident,ANC89IA032B,1989-01-09,"ANCHORAGE, AK",United States,ANC,ANCHORAGE,Incident,Minor,7464,Boeing,747,No,4.0,Turbo Fan,Unknown,0.0,0.0,0.0,441.0,VMC,Taxi,Probable Cause,26-08-1992,441.0,0.0,1.0
22188,20001213X27515,Incident,ANC89IA032A,1989-01-09,"ANCHORAGE, AK",United States,ANC,ANCHORAGE,Incident,Minor,N7298U,Boeing,727-222,No,3.0,Turbo Fan,Unknown,0.0,0.0,0.0,441.0,VMC,Standing,Probable Cause,26-08-1992,441.0,0.0,1.0
22241,20001213X27614,Accident,LAX89LA090,1989-01-18,"HUNTINGTON BCH, CA",United States,L16,HUNTINGTON BEACH,Non-Fatal,Substantial,N58072,Boeing,A75,No,1.0,Reciprocating,Personal,0.0,0.0,1.0,1.0,VMC,Takeoff,Probable Cause,28-06-1991,2.0,0.0,0.5
22248,20001213X27530,Incident,ATL89IA080,1989-01-19,"ATLANTA, GA",United States,,,Incident,Minor,N509EA,Boeing,757-225,No,2.0,Turbo Fan,Unknown,0.0,0.0,0.0,111.0,VMC,Climb,Probable Cause,26-08-1992,111.0,0.0,1.0
22257,20001213X27558,Accident,CHI89MA046,1989-01-20,"CHICAGO, IL",United States,ORD,O'HARE FIELD,Non-Fatal,Substantial,N242US,Boeing,737-201,No,2.0,Turbo Fan,Unknown,0.0,0.0,0.0,33.0,VMC,Takeoff,Probable Cause,30-06-1992,33.0,0.0,1.0
22269,20001213X27565,Incident,DEN89IA067,1989-01-22,"SALT LAKE CITY, UT",United States,SLC,SALT LAKE CITY,Incident,Minor,N712PC,Boeing,707-323B,No,4.0,Turbo Fan,Unknown,0.0,0.0,0.0,194.0,IMC,Approach,Probable Cause,26-08-1992,194.0,0.0,1.0
22336,20001213X27706,Accident,DCA89RA023,1989-02-08,"SANTA MARIA, Portugal",Portugal,,,Fatal(144),Destroyed,N7231T,Boeing,707,No,4.0,Turbo Fan,Unknown,144.0,0.0,0.0,0.0,IMC,,Foreign,06-02-1995,144.0,1.0,0.0
22399,20001213X27707,Accident,DCA89RA025,1989-02-19,"PUCHONG MALAYSI, Malaysia",Malaysia,,,Fatal(4),Destroyed,N807FT,Boeing,747-200,No,4.0,Turbo Fan,,4.0,0.0,0.0,0.0,UNK,,Foreign,21-12-2005,4.0,1.0,0.0
22426,20001213X27705,Accident,DCA89MA027,1989-02-24,"HONOLULU, HI",United States,,,Fatal(9),Substantial,N4713U,Boeing,747-122,No,4.0,Turbo Fan,Unknown,9.0,5.0,33.0,309.0,VMC,Climb,Probable Cause,25-06-1990,356.0,0.025280898876404494,0.8679775280898876
22502,20001213X27829,Incident,ATL89IA099,1989-03-09,"DAYTON, OH",United States,,,Incident,,N217US,Boeing,737-201,No,2.0,Turbo Fan,Unknown,0.0,0.0,0.0,82.0,UNK,Cruise,Probable Cause,26-08-1992,82.0,0.0,1.0
22542,20001213X27892,Incident,FTW89IA067,1989-03-14,"GREENVILLE, TX",United States,GVT,MAJORS FLD,Incident,,N511DA,Boeing,727-232,No,3.0,Turbo Fan,Unknown,0.0,0.0,7.0,91.0,VMC,Cruise,Probable Cause,26-08-1992,98.0,0.0,0.9285714285714286
22560,20001213X27868,Accident,DCA89MA034,1989-03-17,"OAKLAND, CA",United States,OAK,OAKLAND INTL,Non-Fatal,Substantial,N12318,Boeing,737-300,No,2.0,Turbo Fan,Unknown,0.0,0.0,0.0,69.0,VMC,Standing,Probable Cause,26-06-1992,69.0,0.0,1.0
22576,20001213X27873,Incident,DEN89IA089B,1989-03-21,"SAN ANTONIO, TX",United States,,,Incident,,XAMXE,Boeing,727-200,No,3.0,Turbo Fan,Unknown,0.0,0.0,0.0,261.0,UNK,Cruise,Probable Cause,30-09-1992,261.0,0.0,1.0
22577,20001213X27873,Incident,DEN89IA089A,1989-03-21,"SAN ANTONIO, TX",United States,,,Incident,,N728,Boeing,727-200A,No,3.0,Turbo Fan,Unknown,0.0,0.0,0.0,261.0,UNK,Cruise,Probable Cause,30-09-1992,261.0,0.0,1.0
22623,20001213X27827,Accident,ATL89FA114,1989-03-26,"COVINGTON, GA",United States,9A1,COVINGTON MUNI,Non-Fatal,Substantial,N55530,Boeing,A75N1,No,1.0,Reciprocating,Personal,0.0,1.0,1.0,0.0,VMC,Takeoff,Probable Cause,09-07-1990,2.0,0.0,0.0
22651,20001213X27955,Accident,MIA89LA119,1989-03-31,"STUART, FL",United States,SVA,WITHAM FIELD,Non-Fatal,Substantial,N53549,Boeing,E75N1,No,1.0,Reciprocating,Personal,0.0,0.0,0.0,2.0,VMC,Taxi,Probable Cause,28-06-1991,2.0,0.0,1.0
22672,20001213X28113,Accident,LAX89LA144,1989-04-03,"LOS ANGELES, CA",United States,LAX,LOS ANGELES,Non-Fatal,,N645US,Boeing,767-201,No,2.0,Turbo Jet,Unknown,0.0,2.0,1.0,219.0,VMC,Standing,Probable Cause,22-05-1990,222.0,0.0,0.9864864864864865
22802,20001213X28037,Accident,ATL89LA135,1989-04-22,"BROOKS, GA",United States,8GA9,BROOK BRIDGE,Non-Fatal,Substantial,N52652,Boeing,A75N1,No,1.0,Reciprocating,Personal,0.0,0.0,0.0,2.0,VMC,Takeoff,Probable Cause,08-07-1994,2.0,0.0,1.0
22807,20001213X28182,Incident,NYC89IA222B,1989-04-23,"NEW YORK, NY",United States,,,Incident,,N553PE,Boeing,727-227,No,3.0,Turbo Fan,Unknown,0.0,0.0,0.0,208.0,VMC,Climb,Probable Cause,30-09-1992,208.0,0.0,1.0
22809,20001213X28181,Incident,NYC89IA123B,1989-04-23,"NEW YORK, NY",United States,JFK,JOHN F KENNEDY,Incident,,N305TW,Boeing,747-284B,No,4.0,Turbo Fan,Unknown,0.0,0.0,0.0,241.0,VMC,Approach,Probable Cause,26-08-1992,241.0,0.0,1.0
22849,20001213X28158,Accident,MIA89LA141,1989-04-28,"NEW SMYRNA BCH., FL",United States,34J,NE SMYRNA BEACH MUNI.,Non-Fatal,Substantial,N57946,Boeing,A75N1,No,1.0,Reciprocating,Unknown,0.0,0.0,0.0,1.0,VMC,Landing,Probable Cause,22-08-1990,1.0,0.0,1.0
22892,20001213X28234,Accident,ATL89FA142,1989-05-06,"MT. PLEASANT, TN",United States,MRC,MAURY COUNTY,Fatal(1),Destroyed,N95PB,Embraer,EMB-110-P1,No,2.0,Turbo Prop,Instructional,1.0,1.0,0.0,0.0,IMC,Approach,Probable Cause,11-07-1990,2.0,0.5,0.0
22907,20001213X28339,Incident,LAX89IA184,1989-05-07,"LOS ANGELES, CA",United States,LAX,LOS ANGELES,Incident,,ZKNZX,Boeing,747,No,4.0,Turbo Fan,Unknown,0.0,0.0,3.0,383.0,VMC,Cruise,Probable Cause,29-07-1992,386.0,0.0,0.9922279792746114
22921,20001213X28348,Accident,LAX89LA191,1989-05-10,"SAN DIEGO, CA",United States,,,Non-Fatal,,N972C,Airbus,A-300-B4-203,No,2.0,Turbo Fan,Unknown,0.0,1.0,0.0,93.0,VMC,Descent,Probable Cause,22-08-1990,94.0,0.0,0.9893617021276596
22950,20001213X28251,Incident,BFO89IA036B,1989-05-15,"WASHINGTON, DC",United States,,,Incident,,N806PA,Airbus,A-310,Yes,2.0,Turbo Fan,Unknown,0.0,0.0,0.0,177.0,IMC,Climb,Probable Cause,03-01-1992,177.0,0.0,1.0
22957,20001213X28217,Incident,ANC89IA071,1989-05-17,"ANCHORAGE, AK",United States,ANC,ANCHORAGE INTL,Incident,Minor,N818FT,Boeing,747-121,No,4.0,Turbo Fan,Unknown,0.0,0.0,0.0,6.0,VMC,Takeoff,Probable Cause,17-09-1992,6.0,0.0,1.0
22970,20001213X28306,Accident,FTW89DRA05,1989-05-19,"EAST BERNARD, TX",United States,,,Non-Fatal,Destroyed,N1722B,Boeing,A75,No,1.0,Reciprocating,Aerial Application,0.0,0.0,1.0,0.0,VMC,Cruise,Probable Cause,24-04-1990,1.0,0.0,0.0
23012,20001213X28374,Incident,MIA89IA153,1989-05-23,GUANTANAMO,,MUGM,NAS GUANTANAMO,Incident,Minor,N97891,Boeing,727-100,No,3.0,Turbo Fan,Unknown,0.0,0.0,0.0,132.0,VMC,Landing,Probable Cause,26-08-1992,132.0,0.0,1.0
23024,20001213X28288,Incident,DEN89IA124,1989-05-24,"DENVER, CO",United States,KDEN,STAPELTON INT'L,Incident,Minor,N296WA,Boeing,727-247,No,3.0,Turbo Fan,Unknown,0.0,0.0,0.0,121.0,VMC,Taxi,Probable Cause,26-08-1992,121.0,0.0,1.0
23047,20001213X28384,Accident,MIA89LA160,1989-05-27,"FORT LAUDERDALE, FL",United States,FXE,FT LAUDERDALE EXECUTIVE,Non-Fatal,Substantial,N1535M,Boeing,E75N1,No,1.0,Reciprocating,Personal,0.0,0.0,0.0,2.0,VMC,Landing,Probable Cause,18-06-1990,2.0,0.0,1.0
23066,20001213X28248,Accident,ATL89LA154,1989-05-29,"JACKSONVILLE, NC",United States,NC61,WINGS ALOFT,Fatal(1),Destroyed,N5325N,Boeing,E75-(PT-13D),No,1.0,Reciprocating,Personal,1.0,0.0,0.0,0.0,VMC,Maneuvering,Probable Cause,11-07-1990,1.0,1.0,0.0
23108,20001213X28654,Accident,NYC89LA145,1989-06-02,"ERWINNA, PA",United States,9N1,VANSANT,Non-Fatal,Substantial,N60812,Boeing,A75N1,No,1.0,Reciprocating,Instructional,0.0,0.0,0.0,2.0,VMC,Landing,Probable Cause,29-03-1991,2.0,0.0,1.0
23116,20001213X28545,Accident,DEN89FA131,1989-06-03,"MEEKER, CO",United States,2V3,MEEKER,Fatal(1),Destroyed,N555JW,Boeing,PT-17,No,1.0,Reciprocating,Unknown,1.0,1.0,0.0,0.0,VMC,Approach,Probable Cause,02-08-1990,2.0,0.5,0.0
23201,20001213X28613,Accident,MIA89FA176,1989-06-15,"DAYTONA BEACH, FL",United States,,,Fatal(1),Destroyed,N57946,Boeing,A-75,No,1.0,Reciprocating,Unknown,1.0,0.0,0.0,0.0,VMC,Cruise,Probable Cause,11-07-1990,1.0,1.0,0.0
23228,20001213X28535,Accident,CHI89LA111,1989-06-17,"SHELBYVILLE, IN",United States,3SM,SHELBYVILLE,Non-Fatal,Substantial,N43YP,Boeing,E75,No,1.0,Reciprocating,Personal,0.0,0.0,0.0,2.0,VMC,Approach,Probable Cause,24-04-1990,2.0,0.0,1.0
23307,20001213X28497,Accident,ATL89LA172,1989-06-26,"ATLANTA, GA",United States,ATL,HARTSFIELD,Non-Fatal,,N7375F,Boeing,737-291,No,2.0,Turbo Fan,Unknown,0.0,1.0,0.0,105.0,VMC,Standing,Probable Cause,15-02-1991,106.0,0.0,0.9905660377358491
23407,20001213X28862,Accident,LAX89LA231,1989-07-06,"SACRAMENTO, CA",United States,SAC,EXECUTIVE,Non-Fatal,Substantial,N747JR,Boeing,A75,No,1.0,Reciprocating,Personal,0.0,0.0,1.0,0.0,VMC,Takeoff,Probable Cause,02-08-1990,1.0,0.0,0.0
23442,20001213X28744,Accident,BFO89LA056,1989-07-09,"BEALETON, VA",United States,3VA3,FLYING CIRCUS,Non-Fatal,Destroyed,N56940,Boeing,A75N1,No,1.0,Reciprocating,Unknown,0.0,0.0,0.0,1.0,VMC,Maneuvering,Probable Cause,28-06-1991,1.0,0.0,1.0
23477,20001213X28889,Accident,MIA89FA194,1989-07-12,SAN JUAN,Puerto Rico,SJU,LUIS M MORIN,Fatal(1),,N7062A,Airbus,A-300,No,2.0,Turbo Fan,Unknown,1.0,0.0,0.0,244.0,VMC,Taxi,Probable Cause,05-09-1990,245.0,0.004081632653061225,0.9959183673469387
23587,20001213X28848,Accident,LAX89DUG06,1989-07-25,"CHINO, CA",United States,CNO,CHINO,Non-Fatal,Substantial,N68491,Boeing,A75N1,No,1.0,Reciprocating,Personal,0.0,0.0,0.0,1.0,VMC,Landing,Probable Cause,30-06-1992,1.0,0.0,1.0
23657,20001213X29031,Incident,ATL89IA187,1989-08-02,"GREENSBORO, NC",United States,GSO,GREENSBORO,Incident,Minor,N413US,Boeing,737-400,No,2.0,Turbo Fan,Unknown,0.0,0.0,0.0,106.0,VMC,Landing,Probable Cause,11-09-1992,106.0,0.0,1.0
23738,20001213X29225,Incident,NYC89IA185,1989-08-10,"BOSTON, MA",United States,BOS,LOGAN INTL,Incident,Minor,N915TS,Boeing,727-254,No,3.0,Turbo Fan,Unknown,0.0,0.0,2.0,54.0,VMC,Approach,Probable Cause,26-08-1992,56.0,0.0,0.9642857142857143
23739,20001213X29143,Incident,LAX89IA315,1989-08-10,"LOS ANGELES, CA",United States,,,Incident,Minor,N88709,Boeing,727-224,No,3.0,Turbo Fan,Unknown,0.0,0.0,0.0,148.0,VMC,Cruise,Probable Cause,26-08-1992,148.0,0.0,1.0
23861,20001213X29120,Incident,FTW89IA152,1989-08-25,"KENNER, LA",United States,MSY,NEW ORLEANS INT'L,Incident,Minor,N52309,Boeing,727-231,No,3.0,Turbo Fan,Unknown,0.0,0.0,0.0,149.0,VMC,Takeoff,Probable Cause,26-08-1992,149.0,0.0,1.0
23974,20001213X29317,Incident,CHI89IA179,1989-09-05,"KNOX, IN",United States,NONE,,Incident,,N608TW,Boeing,767-231,No,2.0,Turbo Fan,Unknown,0.0,0.0,6.0,156.0,IMC,Cruise,Probable Cause,08-10-1992,162.0,0.0,0.9629629629629629
23991,20001213X29334,Incident,DCA89IA071,1989-09-08,"KANSAS CITY, MO",United States,MCI,KANSAS CITY INT'L,Incident,Minor,N283AU,Boeing,737-200A,No,2.0,Turbo Fan,Unknown,0.0,0.0,0.0,65.0,IMC,Approach,Probable Cause,07-10-1992,65.0,0.0,1.0
24029,20001213X29437,Incident,MIA89IA248,1989-09-13,"FORT LAUDERDALE, FL",United States,FLL,FT LAUDERDALE,Incident,Minor,N629DL,Boeing,757-232,No,2.0,Turbo Fan,Unknown,0.0,0.0,0.0,106.0,VMC,Landing,Probable Cause,26-08-1992,106.0,0.0,1.0
24090,20001213X29335,Accident,DCA89MA074,1989-09-20,"FLUSHING, NY",United States,LGA,LA GUARDIA,Fatal(2),Destroyed,N416US,Boeing,737-400,No,2.0,Turbo Fan,Unknown,2.0,3.0,18.0,40.0,IMC,Takeoff,Probable Cause,08-10-1992,63.0,0.031746031746031744,0.6349206349206349
24242,20001213X29555,Incident,CHI90IA006,1989-10-09,"SAN FRANCISCO, CA",United States,,,Incident,Minor,N512US,Boeing,757-251,No,2.0,Turbo Fan,Unknown,0.0,0.0,0.0,147.0,VMC,Descent,Probable Cause,26-08-1992,147.0,0.0,1.0
24269,20001213X29575,Accident,DCA90MA002,1989-10-14,"SALT LAKE CITY, UT",United States,SLC,SALT LAKE CITY,Non-Fatal,Destroyed,N530DA,Boeing,727-232,No,3.0,Turbo Jet,Unknown,0.0,0.0,5.0,17.0,UNK,Standing,Probable Cause,21-06-1990,22.0,0.0,0.7727272727272727
24298,20001213X29718,Accident,SEA90LA008,1989-10-19,"SALMON, ID",United States,,,Non-Fatal,Destroyed,N75863,Boeing,A75N1,No,1.0,Reciprocating,Personal,0.0,0.0,0.0,2.0,VMC,Climb,Probable Cause,25-06-1992,2.0,0.0,1.0
24310,20001213X29577,Accident,DCA90RA003,1989-10-21,"TEGUCIGALPA, Honduras",Honduras,,TONCONTIN INTL,Fatal(131),Destroyed,N88705,Boeing,727-224,No,3.0,Turbo Fan,Unknown,131.0,14.0,1.0,0.0,IMC,,Foreign,06-02-1995,146.0,0.8972602739726028,0.0
24354,20001213X29582,Incident,DEN90IA016,1989-10-27,"RAPID CITY, SD",United States,,,Incident,,N344UA,Boeing,737-322,No,2.0,Turbo Fan,Unknown,0.0,0.0,0.0,40.0,VMC,Climb,Probable Cause,26-08-1992,40.0,0.0,1.0
24362,20001213X29706,Accident,NYC90LA021,1989-10-28,"WILLIMANTIC, ME",United States,ME79,TWO FALLS,Non-Fatal,Substantial,N68972,Boeing,B75N,No,1.0,Reciprocating,Personal,0.0,0.0,2.0,0.0,VMC,Cruise,Probable Cause,23-01-1992,2.0,0.0,0.0
24417,20001213X29815,Accident,LAX90LA021,1989-11-06,"PHOENIX, AZ",United States,PHX,PHOENIX INTERNATIONAL,Non-Fatal,,N902AW,Boeing,757-2S7,No,2.0,Turbo Fan,Unknown,0.0,1.0,0.0,98.0,VMC,Taxi,Probable Cause,22-06-1992,99.0,0.0,0.98989898989899
24556,20001213X29737,Incident,ATL90IA033,1989-11-29,"ATLANTA, GA",United States,ATL,HARTSFIELD ATLANTA INT'L,Incident,Minor,N8835E,Boeing,727-225,No,3.0,Turbo Fan,Unknown,0.0,0.0,0.0,53.0,VMC,Landing,Probable Cause,11-09-1992,53.0,0.0,1.0
24596,20001213X30003,Accident,NYC90FA038,1989-12-08,"NEWARK, NJ",United States,EWR,NEWARK,Non-Fatal,Substantial,N727PJ,Boeing,727-31,No,3.0,Turbo Fan,Positioning,0.0,0.0,0.0,7.0,VMC,Cruise,Probable Cause,07-10-1992,7.0,0.0,1.0
24621,20001213X29992,Incident,MIA90IA039A,1989-12-15,"ORMOND BEACH, FL",United States,,,Incident,,N64339,Boeing,727,No,3.0,Turbo Fan,Unknown,0.0,0.0,0.0,59.0,VMC,Descent,Probable Cause,30-09-1992,59.0,0.0,1.0
